;index;0
0;01234; IVLDE VCELA CDIHC TUSAH ICJMO APDTO ROEAT JEREN LNZEV NPIAO KOAJE EZMZI KNAAZ CEIIC KHSYC RSDAH NOEAS INCAL CIIHS IPTCH DUOIV IDJNA VOZAZ AMVNY MEOEZ IANMD SHTTA VYOAN HECPR WISIF EAVVL IPCCH PUOIS IUJZK ESSNO IOTSP AMMLY NTAES BNAIL MIIPR ONPJE MRIPA DNAOX TBEAK LOYAP RAPEN RIOIG AINLN KOEON IAMCK EITOR MIEIN TNSRY MTEAR NAYOV OKKVE YCDVI SZETA NHEYC ANDTZ MAAEN ECJJI ZVHLE ECNNI TKOAM OADST UVHJE DSZYT GLINA UPFRT DJAAA TOEOP ATMLE MROAM CEYHL SOJIM IIBLN OAPPS JELED ZSNDI UJKTU CHIIC ACNFA BKEOO UAUME EOLSP TRNAK ADKVZ NUYEF KINCN NAZID SOLIK EAMNT NDRAA EWRSU FDIIC MIOEZ DATAT IZVCU OATSN ANDNI JNEDE PSETA RNEEC CDIKY LCASI SJETU CQIIQ
1;01243; IVLED VCEAL CDICH TUSHA ICJOM APDOT ROETA JERNE LNZVE NPIOA KOAEJ EZMIZ KNAZA CEICI KHSCY RSDHA NOESA INCLA CIISH IPTHC DUOVI IDJAN VOZZA AMVYN MEOZE IANDM SHTAT VYONA HECRP WISFI EAVLV IPCHC PUOSI IUJKZ ESSON IOTPS AMMYL NTASE BNALI MIIRP ONPEJ MRIAP DNAXO TBEKA LOYPA RAPNE RIOGI AINNL KOENO IAMKC EITRO MIENI TNSYR MTERA NAYVO OKKEV YCDIV SZEAT NHECY ANDZT MAANE ECJIJ ZVHEL ECNIN TKOMA OADTS UVHEJ DSZTY GLIAN UPFTR DJAAA TOEPO ATMEL MROMA CEYLH SOJMI IIBNL OAPSP JELDE ZSNID UJKUT CHICI ACNAF BKEOO UAUEM EOLPS TRNKA ADKZV NUYFE KINNC NAZDI SOLKI EAMTN NDRAA EWRUS FDICI MIOZE DATTA IZVUC OATNS ANDIN JNEED PSEAT RNECE CDIYK LCAIS SJEUT CQIQI
2;01324; IVDLE VCLEA CDHIC TUASH ICMJO APTDO ROAET JEERN LNEZV NPAIO KOJAE EZZMI KNAAZ CEIIC KHYSC RSADH NOAES INACL CIHIS IPCTH DUIOV IDNJA VOAZZ AMNVY MEEOZ IAMND SHTTA VYAON HEPCR WIISF EAVVL IPCCH PUIOS IUZJK ESNSO IOSTP AMLMY NTEAS BNIAL MIPIR ONJPE MRPIA DNOAX TBAEK LOAYP RAEPN RIIOG AILNN KOOEN IACMK EIOTR MIIEN TNRSY MTAER NAOYV OKVKE YCVDI SZTEA NHYEC ANTDZ MAEAN ECJJI ZVLHE ECNNI TKAOM OASDT UVJHE DSYZT GLNIA UPRFT DJAAA TOOEP ATLME MRAOM CEHYL SOIJM IILBN OAPPS JEELD ZSDNI UJTKU CHIIC ACFNA BKOEO UAMUE EOSLP TRANK ADVKZ NUEYF KICNN NAIZD SOILK EANMT NDARA EWSRU FDIIC MIEOZ DAATT IZCVU OASTN ANNDI JNDEE PSTEA RNEEC CDKIY LCSAI SJTEU CQIIQ
3;01342; IVDEL VCLAE CDHCI TUAHS ICMOJ APTOD ROATE JEENR LNEVZ NPAOI KOJEA EZZIM KNAZA CEICI KHYCS RSAHD NOASE INALC CIHSI IPCHT DUIVO IDNAJ VOAZZ AMNYV MEEZO IAMDN SHTAT VYANO HEPRC WIIFS EAVLV IPCHC PUISO IUZKJ ESNOS IOSPT AMLYM NTESA BNILA MIPRI ONJEP MRPAI DNOXA TBAKE LOAPY RAENP RIIGO AILNN KOONE IACKM EIORT MIINE TNRYS MTARE NAOVY OKVEK YCVID SZTAE NHYCE ANTZD MAENA ECJIJ ZVLEH ECNIN TKAMO OASTD UVJEH DSYTZ GLNAI UPRTF DJAAA TOOPE ATLEM MRAMO CEHLY SOIMJ IILNB OAPSP JEEDL ZSDIN UJTUK CHICI ACFAN BKOOE UAMEU EOSPL TRAKN ADVZK NUEFY KICNN NAIDZ SOIKL EANTM NDAAR EWSUR FDICI MIEZO DAATT IZCUV OASNT ANNID JNDEE PSTAE RNECE CDKYI LCSIA SJTUE CQIQI
4;01423; IVELD VCAEL CDCIH TUHSA ICOJM APODT ROTEA JENRE LNVZE NPOIA KOEAJ EZIMZ KNZAA CECII KHCSY RSHDA NOSEA INLCA CISIH IPHTC DUVOI IDAJN VOZZA AMYVN MEZOE IADNM SHATT VYNOA HERCP WIFSI EALVV IPHCC PUSOI IUKJZ ESOSN IOPTS AMYML NTSAE BNLAI MIRIP ONEPJ MRAIP DNXAO TBKEA LOPYA RANPE RIGOI AINNL KONEO IAKMC EIRTO MINEI TNYSR MTREA NAVYO OKEKV YCIDV SZAET NHCEY ANZDT MANAE ECIJJ ZVEHL ECINN TKMOA OATDS UVEHJ DSTZY GLAIN UPTFR DJAAA TOPEO ATEML MRMOA CELYH SOMJI IINBL OASPP JEDLE ZSIND UJUKT CHCII ACANF BKOEO UAEUM EOPLS TRKNA ADZKV NUFYE KINNC NADZI SOKLI EATMN NDARA EWURS FDCII MIZOE DATTA IZUVC OANTS ANIDN JNEED PSAET RNCEE CDYIK LCIAS SJUET CQQII
5;01432; IVEDL VCALE CDCHI TUHAS ICOMJ APOTD ROTAE JENER LNVEZ NPOAI KOEJA EZIZM KNZAA CECII KHCYS RSHAD NOSAE INLAC CISHI IPHCT DUVIO IDANJ VOZAZ AMYNV MEZEO IADMN SHATT VYNAO HERPC WIFIS EALVV IPHCC PUSIO IUKZJ ESONS IOPST AMYLM NTSEA BNLIA MIRPI ONEJP MRAPI DNXOA TBKAE LOPAY RANEP RIGIO AINLN KONOE IAKCM EIROT MINIE TNYRS MTRAE NAVOY OKEVK YCIVD SZATE NHCYE ANZTD MANEA ECIJJ ZVELH ECINN TKMAO OATSD UVEJH DSTYZ GLANI UPTRF DJAAA TOPOE ATELM MRMAO CELHY SOMIJ IINLB OASPP JEDEL ZSIDN UJUTK CHCII ACAFN BKOOE UAEMU EOPSL TRKAN ADZVK NUFEY KINCN NADIZ SOKIL EATNM NDAAR EWUSR FDCII MIZEO DATAT IZUCV OANST ANIND JNEDE PSATE RNCEE CDYKI LCISA SJUTE CQQII
6;02134; ILVDE VECLA CIDHC TSUAH IJCMO ADPTO REOAT JREEN LZNEV NIPAO KAOJE EMZZI KANAZ CIEIC KSHYC RDSAH NEOAS ICNAL CIIHS ITPCH DOUIV IJDNA VZOAZ AVMNY MOEEZ INAMD STHTA VOYAN HCEPR WSIIF EVAVL ICPCH POUIS IJUZK ESSNO ITOSP AMMLY NATES BANIL MIIPR OPNJE MIRPA DANOX TEBAK LYOAP RPAEN ROIIG ANILN KEOON IMACK ETIOR MEIIN TSNRY METAR NYAOV OKKVE YDCVI SEZTA NEHYC ADNTZ MAAEN EJCJI ZHVLE ENCNI TOKAM ODAST UHVJE DZSYT GILNA UFPRT DAJAA TEOOP AMTLE MORAM CYEHL SJOIM IBILN OPAPS JLEED ZNSDI UKJTU CIHIC ANCFA BEKOO UUAME ELOSP TNRAK AKDVZ NYUEF KNICN NZAID SLOIK EMANT NRDAA ERWSU FIDIC MOIEZ DTAAT IVZCU OTASN ADNNI JENDE PESTA RENEC CIDKY LACSI SEJTU CIQIQ
7;02143; ILVED VECAL CIDCH TSUHA IJCOM ADPOT REOTA JRENE LZNVE NIPOA KAOEJ EMZIZ KANZA CIECI KSHCY RDSHA NEOSA ICNLA CIISH ITPHC DOUVI IJDAN VZOZA AVMYN MOEZE INADM STHAT VOYNA HCERP WSIFI EVALV ICPHC POUSI IJUKZ ESSON ITOPS AMMYL NATSE BANLI MIIRP OPNEJ MIRAP DANXO TEBKA LYOPA RPANE ROIGI ANINL KEONO IMAKC ETIRO MEINI TSNYR METRA NYAVO OKKEV YDCIV SEZAT NEHCY ADNZT MAANE EJCIJ ZHVEL ENCIN TOKMA ODATS UHVEJ DZSTY GILAN UFPTR DAJAA TEOPO AMTEL MORMA CYELH SJOMI IBINL OPASP JLEDE ZNSID UKJUT CIHCI ANCAF BEKOO UUAEM ELOPS TNRKA AKDZV NYUFE KNINC NZADI SLOKI EMATN NRDAA ERWUS FIDCI MOIZE DTATA IVZUC OTANS ADNIN JENED PESAT RENCE CIDYK LACIS SEJUT CIQQI
8;02314; ILDVE VELCA CIHDC TSAUH IJMCO ADTPO REAOT JREEN LZENV NIAPO KAJOE EMZZI KAANZ CIIEC KSYHC RDASH NEAOS ICANL CIHIS ITCPH DOIUV IJNDA VZAOZ AVNMY MOEEZ INMAD STTHA VOAYN HCPER WSIIF EVVAL ICCPH POIUS IJZUK ESNSO ITSOP AMLMY NAETS BAINL MIPIR OPJNE MIPRA DAONX TEABK LYAOP RPEAN ROIIG ANLIN KEOON IMCAK ETOIR MEIIN TSRNY MEATR NYOAV OKVKE YDVCI SETZA NEYHC ADTNZ MAEAN EJJCI ZHLVE ENNCI TOAKM ODSAT UHJVE DZYST GINLA UFRPT DAAJA TEOOP AMLTE MOARM CYHEL SJIOM IBLIN OPPAS JLEED ZNDSI UKTJU CIIHC ANFCA BEOKO UUMAE ELSOP TNARK AKVDZ NYEUF KNCIN NZIAD SLIOK EMNAT NRADA ERSWU FIIDC MOEIZ DTAAT IVCZU OTSAN ADNNI JEDNE PETSA REENC CIKDY LASCI SETJU CIIQQ
9;02341; ILDEV VELAC CIHCD TSAHU IJMOC ADTOP REATO JRENE LZEVN NIAOP KAJEO EMZIZ KAAZN CIICE KSYCH RDAHS NEASO ICALN CIHSI ITCHP DOIVU IJNAD VZAZO AVNYM MOEZE INMDA STTAH VOANY HCPRE WSIFI EVVLA ICCHP POISU IJZKU ESNOS ITSPO AMLYM NAEST BAILN MIPRI OPJEN MIPAR DAOXN TEAKB LYAPO RPENA ROIGI ANLNI KEONO IMCKA ETORI MEINI TSRYN MEART NYOVA OKVEK YDVIC SETAZ NEYCH ADTZN MAENA EJJIC ZHLEV ENNIC TOAMK ODSTA UHJEV DZYTS GINAL UFRTP DAAAJ TEOPO AMLET MOAMR CYHLE SJIMO IBLNI OPPSA JLEDE ZNDIS UKTUJ CIICH ANFAC BEOOK UUMEA ELSPO TNAKR AKVZD NYEFU KNCNI NZIDA SLIKO EMNTA NRAAD ERSUW FIICD MOEZI DTATA IVCUZ OTSNA ADNIN JEDEN PETAS REECN CIKYD LASIC SETUJ CIIQQ
